region,subregion,information,tfs_coefficient_r2_99,tfs_exponent_r2_99,tfs_coefficient_r2_95,tfs_exponent_r2_95,tfs_coefficient_r2_90,tfs_exponent_r2_90
Brasil,State,cases,0.9965880842793912,0.9965880842793912,0.9965971577599213,0.9965971577599213,0.9966174372800035,0.9966174372800035
Brasil,State,deaths,0.9942883016629002,0.9942883016629002,0.9943749946887969,0.9943749946887969,0.9945791273047222,0.9945791273047222
Colombia,Municipalities,cases,0.9755743642928746,0.9755743642928746,0.9786783742947487,0.9786783742947487,0.9816271015628683,0.9816271015628683
Colombia,Municipalities,deaths,0.2537213321889209,0.2537213321889209,0.2769941879718922,0.2769941879718922,0.3312152662620802,0.3312152662620802
Europe,Country,cases,0.020302698203148055,0.020302698203148055,0.2478770485287565,0.2478770485287565,0.465848879924804,0.465848879924804
Europe,Country,deaths,0.7147431336091093,0.7147431336091093,0.9074651969767531,0.9074651969767531,0.91515546897363,0.91515546897363
Georgia,County,cases,0.9842391567703535,0.9842391567703535,0.9848665071605758,0.9848665071605758,0.9856537998377983,0.9856537998377983
Georgia,County,deaths,0.9903310595643372,0.9903310595643372,0.9908601010818547,0.9908601010818547,0.991511117114353,0.991511117114353
Illinois,County,cases,0.9924405170970306,0.9924405170970306,0.992967296947739,0.992967296947739,0.9935895109669544,0.9935895109669544
Illinois,County,deaths,0.9883899876360818,0.9883899876360818,0.9894430851357865,0.9894430851357865,0.990602897957077,0.990602897957077
India,State,cases,0.9846373675610731,0.9846373675610731,0.9846737790470866,0.9846737790470866,0.9847819982021044,0.9847819982021044
India,State,deaths,0.9481014337120433,0.9481014337120433,0.9483578689018861,0.9483578689018861,0.9491461737673008,0.9491461737673008
Kansas,County,cases,0.9979195553168667,0.9979195553168667,0.9980598407969408,0.9980598407969408,0.9982299718074299,0.9982299718074299
Kansas,County,deaths,0.9985773435039158,0.9985773435039158,0.9986670440078267,0.9986670440078267,0.9987757120167511,0.9987757120167511
Kentucky,County,cases,0.9942608219388488,0.9942608219388488,0.9946868633889359,0.9946868633889359,0.9952123392252274,0.9952123392252274
Kentucky,County,deaths,0.9962719666446013,0.9962719666446013,0.9965252106886742,0.9965252106886742,0.9968378320043156,0.9968378320043156
Missouri,County,cases,0.9771413360812673,0.9771413360812673,0.9793773865723144,0.9793773865723144,0.9820441884160667,0.9820441884160667
Missouri,County,deaths,0.9955532675992285,0.9955532675992285,0.9958610520733074,0.9958610520733074,0.9962487499118508,0.9962487499118508
North Carolina,County,cases,3.185100400613496e-4,3.185100400613496e-4,0.007379356285412131,0.007379356285412131,0.02848545524454663,0.02848545524454663
North Carolina,County,deaths,0.991764973216213,0.991764973216213,0.9923972053151363,0.9923972053151363,0.9931682492838043,0.9931682492838043
Spain,Province,cases,0.9905069429801749,0.9905069429801749,0.9906399152380365,0.9906399152380365,0.9910769044683923,0.9910769044683923
Spain,Province,deaths,0.9953723921099586,0.9953723921099586,0.9964812389796023,0.9964812389796023,0.9971098131170725,0.9971098131170725
Texas,County,cases,0.0323383106829756,0.0323383106829756,0.41402639350224424,0.41402639350224424,0.7012333667088012,0.7012333667088012
Texas,County,deaths,0.9978443215979215,0.9978443215979215,0.9978844526713204,0.9978844526713204,0.9980005939893597,0.9980005939893597
USA,State,cases,0.006710794163113396,0.006710794163113396,0.13115119356337201,0.13115119356337201,0.35445484068462996,0.35445484068462996
USA,State,deaths,0.9489793420314727,0.9489793420314727,0.9496136498750047,0.9496136498750047,0.9514457363429585,0.9514457363429585
Virginia,County,cases,0.9987827404671117,0.9987827404671117,0.9988567463077992,0.9988567463077992,0.9989464617518333,0.9989464617518333
Virginia,County,deaths,0.998424944321938,0.998424944321938,0.9985256523881316,0.9985256523881316,0.9986470732297232,0.9986470732297232
World,Country,cases,0.9633666460462559,0.9633666460462559,0.9637379772276814,0.9637379772276814,0.96479553746539,0.96479553746539
World,Country,deaths,0.9788924379949107,0.9788924379949107,0.9791022505421921,0.9791022505421921,0.9797288699967779,0.9797288699967779
